,name,size,mean,median,variance,standard deviation,minimum,maximum,entropy,chi-square test p value,kolmogorov-smirnov test p value
71,dat_sample5_seed22,1000000,2146902427.640713,2148811416.5,1.5382648296411922e+18,1240268047.496666,991.0,4294958056.0,9.965079527096218,0.6834620073529909,0.5157259816606639
72,dat_sample5_seed23,1000000,2147941143.919591,2148273282.0,1.539500633110174e+18,1240766147.6322498,2323.0,4294963256.0,9.965103500485405,0.8924283887735791,0.15622246372296833
73,dat_sample5_seed24,1000000,2147056378.044315,2147866845.0,1.5360678713266813e+18,1239382052.2045176,5731.0,4294966772.0,9.965029876342959,0.15363170634690326,0.7675345659952588
74,dat_sample5_seed25,1000000,2146398450.679346,2145769136.5,1.5366434439839933e+18,1239614231.9221706,6383.0,4294965651.0,9.96507346734505,0.6173675564601575,0.7342424056932171
75,dat_sample6_seed11,1000000,2146958105.688788,2147225558.0,1.5373959073230592e+18,1239917701.834706,1441.0,4294964859.0,9.965056100338511,0.4107868461703215,0.854935015509012
76,dat_sample6_seed12,1000000,2146646285.706874,2145961329.5,1.5354496683317888e+18,1239132627.417981,1377.0,4294967264.0,9.965041029405516,0.2324888804187711,0.3792651437735015
77,dat_sample6_seed13,1000000,2148799673.203934,2149648115.0,1.536728236870709e+18,1239648432.770642,2595.0,4294965126.0,9.965075122374486,0.6361040728599772,0.6414211776824972
78,dat_sample6_seed14,1000000,2147558606.18373,2148283482.0,1.536533628653921e+18,1239569936.975692,4315.0,4294963168.0,9.964999236668138,0.0268082602507221,0.6868202483045788
79,dat_sample6_seed15,1000000,2147140556.415734,2145730252.0,1.5363326638285778e+18,1239488872.0067549,14490.0,4294958575.0,9.96503823747484,0.21171990850855063,0.9820226303632109
80,dat_sample6_seed16,1000000,2147984767.111124,2148621713.0,1.5368973000640776e+18,1239716620.8711076,3379.0,4294964139.0,9.965102195598243,0.8830320328902068,0.6483256188681847
81,dat_sample6_seed17,1000000,2146025840.16085,2144778835.0,1.5370623696666278e+18,1239783194.6217966,656.0,4294966108.0,9.965024754267311,0.11473251123395263,0.4855571992782105
82,dat_sample6_seed18,1000000,2149173576.220327,2149426966.5,1.5394068918471173e+18,1240728371.5008364,1378.0,4294965691.0,9.965079772191828,0.699140408803401,0.1558489396002387
83,dat_sample6_seed19,1000000,2149432415.867876,2150355542.5,1.536375717645489e+18,1239506239.4540372,3893.0,4294965843.0,9.965038841096158,0.21706399096784273,0.16084357837894758
84,dat_sample6_seed20,1000000,2145654528.473084,2144651348.5,1.537519801374813e+18,1239967661.4229958,659.0,4294962976.0,9.965057561953218,0.42325127963770226,0.1818386971477327
85,dat_sample6_seed21,1000000,2147999753.048834,2148236408.0,1.535670963283629e+18,1239221918.4970984,8718.0,4294962005.0,9.965094437018092,0.8287530204958726,0.782022526116555
86,dat_sample6_seed22,1000000,2147537393.820769,2146455968.5,1.5368492160847485e+18,1239697227.5861347,928.0,4294966802.0,9.965028797128722,0.1446901053992376,0.8069550168698347
87,dat_sample6_seed23,1000000,2147631281.674507,2146163568.5,1.536731568739546e+18,1239649776.646431,1157.0,4294956847.0,9.965084551638228,0.7376781609572554,0.9543686608097381
88,dat_sample6_seed24,1000000,2144677902.815958,2142387247.5,1.5370599720876513e+18,1239782227.6866415,188.0,4294958200.0,9.965086327015678,0.7542103768960476,0.06675223082704962
89,dat_sample6_seed25,1000000,2146376497.176208,2146023904.0,1.5387852367083978e+18,1240477825.9640105,298.0,4294958186.0,9.9650550349458,0.39207871248585585,0.41152559751644646
90,dat_sample7_seed11,1000000,2146592378.866135,2145491317.0,1.5374871523205724e+18,1239954496.0685341,4373.0,4294965978.0,9.965089423163423,0.7824674709814051,0.7446616532543627
91,dat_sample7_seed12,1000000,2146101389.97761,2146409895.5,1.5360112744494682e+18,1239359219.2941754,2402.0,4294963390.0,9.96508278393428,0.7139373316881173,0.3405117791395874
92,dat_sample7_seed13,1000000,2146973218.892212,2145872960.5,1.5376906340772022e+18,1240036545.4603353,3654.0,4294966111.0,9.96505251482349,0.37099326187470116,0.868471687222802
93,dat_sample7_seed14,1000000,2145621545.445727,2145329069.5,1.5362803611619008e+18,1239467773.3454392,2897.0,4294966442.0,9.965052210300922,0.36271847450893446,0.10025281164305266
94,dat_sample7_seed15,1000000,2149459169.85279,2150436727.5,1.5384936177689654e+18,1240360277.4069176,691.0,4294966527.0,9.965079454186451,0.68205454422839,0.13016584647178964
95,dat_sample7_seed16,1000000,2147289667.242283,2149435740.5,1.539863725394388e+18,1240912456.7810526,400.0,4294966857.0,9.965029478398826,0.1462360356389499,0.35661693254147186
96,dat_sample7_seed17,1000000,2147167992.777308,2147322849.0,1.53872167723114e+18,1240452206.7500787,2360.0,4294963550.0,9.965019179135675,0.08918802308305693,0.5156255593117307
97,dat_sample7_seed18,1000000,2148835189.546529,2150499513.5,1.5370887861511135e+18,1239793848.2470033,1585.0,4294955357.0,9.96505503565398,0.39405921459494253,0.22862089036924627
98,dat_sample7_seed19,1000000,2147831959.212859,2146756707.0,1.5387357663293793e+18,1240457885.7540386,10157.0,4294964861.0,9.965019844845326,0.09080899712568426,0.7463281467718397
99,dat_sample7_seed20,1000000,2147006008.219943,2146441469.5,1.5357577983024517e+18,1239256954.1069567,12581.0,4294965930.0,9.965041630927773,0.2513035560699752,0.42866430008784584
100,dat_sample7_seed21,1000000,2147637365.059844,2147131131.0,1.5379350513614881e+18,1240135093.9964113,34.0,4294963493.0,9.965076211586418,0.6365964941860821,0.951662127935101
101,dat_sample7_seed22,1000000,2148692572.609163,2148147244.0,1.538007996641714e+18,1240164503.862981,1351.0,4294931978.0,9.965054052291245,0.3825281801595635,0.5122773913488909
102,dat_sample7_seed23,1000000,2149393594.628109,2153336603.0,1.5381478960297917e+18,1240220906.1412373,6463.0,4294966672.0,9.965064370013064,0.505995865608864,0.024703702983839615
103,dat_sample7_seed24,1000000,2147732660.183304,2147012989.5,1.5382586739202348e+18,1240265565.885079,7164.0,4294964242.0,9.965063255680684,0.496977271562665,0.9579550075065356
104,dat_sample7_seed25,1000000,2148395005.657629,2149827491.5,1.536951072468513e+18,1239738308.058807,484.0,4294966702.0,9.965055925464286,0.40345577545706796,0.5746102171943864
